"Stadium","Year","Spectator Count","Duration of Game","Stadium Capacity","Capacity Percentage"
"Sutter Health Park",2023,4013,162,14014,28.64
"Sutter Health Park",2022,6707,162,14014,47.86
"Sutter Health Park",2022,7106,205,14014,50.71
"Sutter Health Park",2023,2949,136,14014,21.04
"Sutter Health Park",2024,5777,156,14014,41.22
"Sutter Health Park",2024,14837,134,14014,105.87
"Sutter Health Park",2021,3211,161,14014,22.91
"Sutter Health Park",2021,2893,184,14014,20.64
"Sutter Health Park",2024,11250,181,14014,80.28
"Sutter Health Park",2024,3528,138,14014,25.17
"Sutter Health Park",2021,3571,181,14014,25.48
"Sutter Health Park",2023,10115,135,14014,72.18
"Sutter Health Park",2022,3469,203,14014,24.75
"Sutter Health Park",2022,6978,229,14014,49.79
"Sutter Health Park",2021,8131,226,14014,58.02
"Sutter Health Park",2024,11956,158,14014,85.31
"Sutter Health Park",2022,4030,159,14014,28.76
"Sutter Health Park",2021,4090,179,14014,29.19
"Sutter Health Park",2023,9335,168,14014,66.61
"Sutter Health Park",2021,3004,197,14014,21.44
"Sutter Health Park",2021,5078,161,14014,36.24
"Sutter Health Park",2021,4942,174,14014,35.26
"Sutter Health Park",2022,4429,170,14014,31.6
"Sutter Health Park",2021,4320,154,14014,30.83
"Sutter Health Park",2022,5189,187,14014,37.03
"Sutter Health Park",2022,2703,182,14014,19.29
"Sutter Health Park",2023,15023,163,14014,107.2
"Sutter Health Park",2023,9062,180,14014,64.66
"Sutter Health Park",2024,5447,160,14014,38.87
"Sutter Health Park",2024,6571,155,14014,46.89
"Sutter Health Park",2023,3261,249,14014,23.27
"Sutter Health Park",2023,11102,209,14014,79.22
"Sutter Health Park",2023,12107,176,14014,86.39
"Sutter Health Park",2021,5058,148,14014,36.09
"Sutter Health Park",2024,12212,172,14014,87.14
"Sutter Health Park",2023,12015,207,14014,85.74
"Sutter Health Park",2022,8215,174,14014,58.62
"Sutter Health Park",2022,5010,174,14014,35.75
"Sutter Health Park",2023,8751,162,14014,62.44
"Sutter Health Park",2024,3837,159,14014,27.38
"Sutter Health Park",2024,4517,127,14014,32.23
"Sutter Health Park",2022,4733,183,14014,33.77
"Sutter Health Park",2023,5196,174,14014,37.08
"Sutter Health Park",2022,8268,225,14014,59
"Sutter Health Park",2022,10195,159,14014,72.75
"Sutter Health Park",2021,6964,180,14014,49.69
"Sutter Health Park",2023,3035,199,14014,21.66
"Sutter Health Park",2023,12073,171,14014,86.15
"Sutter Health Park",2022,3640,200,14014,25.97
"Sutter Health Park",2024,10927,140,14014,77.97
"Sutter Health Park",2021,4556,200,14014,32.51
"Sutter Health Park",2021,4068,167,14014,29.03
"Sutter Health Park",2024,16046,127,14014,114.5
"Sutter Health Park",2021,6911,160,14014,49.31
"Sutter Health Park",2022,6012,177,14014,42.9
"Sutter Health Park",2022,14796,187,14014,105.58
"Sutter Health Park",2021,9433,177,14014,67.31
"Sutter Health Park",2024,4377,114,14014,31.23
"Sutter Health Park",2021,10082,184,14014,71.94
"Sutter Health Park",2023,5419,153,14014,38.67
"Sutter Health Park",2024,8230,213,14014,58.73
"Sutter Health Park",2021,7672,165,14014,54.75
"Sutter Health Park",2022,9120,161,14014,65.08
"Sutter Health Park",2021,6983,184,14014,49.83
"Sutter Health Park",2023,5602,163,14014,39.97
"Sutter Health Park",2023,5075,163,14014,36.21
"Sutter Health Park",2022,7012,185,14014,50.04
"Sutter Health Park",2022,2488,157,14014,17.75
"Sutter Health Park",2021,9548,180,14014,68.13
"Sutter Health Park",2022,4105,175,14014,29.29
"Sutter Health Park",2022,6062,189,14014,43.26
"Sutter Health Park",2022,9835,202,14014,70.18
"Sutter Health Park",2023,4021,157,14014,28.69
"Sutter Health Park",2022,4846,160,14014,34.58
"Sutter Health Park",2023,12967,166,14014,92.53
"Sutter Health Park",2021,4246,179,14014,30.3
"Sutter Health Park",2023,14638,152,14014,104.45
"Sutter Health Park",2021,5862,183,14014,41.83
"Sutter Health Park",2024,4679,141,14014,33.39
"Sutter Health Park",2023,16084,141,14014,114.77
"Sutter Health Park",2024,10339,152,14014,73.78
"Sutter Health Park",2023,4848,151,14014,34.59
"Sutter Health Park",2021,3695,164,14014,26.37
"Sutter Health Park",2023,6294,172,14014,44.91
"Sutter Health Park",2021,7945,166,14014,56.69
"Sutter Health Park",2022,3138,174,14014,22.39
"Sutter Health Park",2021,11374,191,14014,81.16
"Sutter Health Park",2023,8556,151,14014,61.05
"T-Mobile Park",2024,38017,164,47929,79.32
"T-Mobile Park",2024,25567,148,47929,53.34
"T-Mobile Park",2024,38104,144,47929,79.5
"T-Mobile Park",2023,17638,140,47929,36.8
"T-Mobile Park",2022,34740,184,47929,72.48
"T-Mobile Park",2022,39870,209,47929,83.19
"T-Mobile Park",2021,6436,203,47929,13.43
"T-Mobile Park",2023,44624,152,47929,93.1
"T-Mobile Park",2024,26033,153,47929,54.32
"T-Mobile Park",2023,45818,208,47929,95.6
"T-Mobile Park",2022,42900,172,47929,89.51
"T-Mobile Park",2024,16008,150,47929,33.4
"T-Mobile Park",2023,32944,143,47929,68.74
"T-Mobile Park",2023,26846,174,47929,56.01
"T-Mobile Park",2024,17291,171,47929,36.08
"T-Mobile Park",2021,30843,206,47929,64.35
"T-Mobile Park",2024,35131,138,47929,73.3
"T-Mobile Park",2024,41609,138,47929,86.81
"T-Mobile Park",2023,32698,154,47929,68.22
"T-Mobile Park",2023,15282,136,47929,31.88
"T-Mobile Park",2021,5776,175,47929,12.05
"T-Mobile Park",2023,28677,158,47929,59.83
"T-Mobile Park",2024,45337,165,47929,94.59
"T-Mobile Park",2022,26583,176,47929,55.46
"T-Mobile Park",2022,23333,148,47929,48.68
"T-Mobile Park",2024,33500,155,47929,69.9
"T-Mobile Park",2024,20005,152,47929,41.74
"T-Mobile Park",2021,20044,171,47929,41.82
"T-Mobile Park",2023,41744,148,47929,87.1
"T-Mobile Park",2023,39920,141,47929,83.29
"T-Mobile Park",2024,14984,152,47929,31.26
"T-Mobile Park",2023,29633,133,47929,61.83
"T-Mobile Park",2024,20646,147,47929,43.08
"T-Mobile Park",2021,21501,187,47929,44.86
"T-Mobile Park",2021,17860,238,47929,37.26
"T-Mobile Park",2022,37691,217,47929,78.64
"T-Mobile Park",2021,8632,200,47929,18.01
"T-Mobile Park",2024,29331,152,47929,61.2
"T-Mobile Park",2024,36137,137,47929,75.4
"T-Mobile Park",2024,38264,173,47929,79.83
"T-Mobile Park",2024,22528,158,47929,47
"T-Mobile Park",2024,40001,152,47929,83.46
"T-Mobile Park",2021,27353,170,47929,57.07
"T-Mobile Park",2021,44414,217,47929,92.67
"T-Mobile Park",2021,23348,212,47929,48.71
"T-Mobile Park",2022,14415,204,47929,30.08
"T-Mobile Park",2023,37807,199,47929,78.88
"T-Mobile Park",2023,38829,137,47929,81.01
"T-Mobile Park",2022,34837,174,47929,72.68
"T-Mobile Park",2021,19887,239,47929,41.49
"T-Mobile Park",2022,38254,168,47929,79.81
"T-Mobile Park",2023,44250,124,47929,92.32
"T-Mobile Park",2024,25012,177,47929,52.19
"T-Mobile Park",2022,45023,184,47929,93.94
"T-Mobile Park",2023,45175,190,47929,94.25
"T-Mobile Park",2024,32347,161,47929,67.49
"T-Mobile Park",2024,17225,140,47929,35.94
"T-Mobile Park",2021,8651,179,47929,18.05
"T-Mobile Park",2021,10287,216,47929,21.46
"T-Mobile Park",2023,35546,159,47929,74.16
"T-Mobile Park",2021,11141,180,47929,23.24
"T-Mobile Park",2022,34827,190,47929,72.66
"T-Mobile Park",2023,43997,121,47929,91.8
"T-Mobile Park",2022,37500,157,47929,78.24
"T-Mobile Park",2021,12879,159,47929,26.87
"T-Mobile Park",2024,33629,162,47929,70.16
"T-Mobile Park",2024,35990,159,47929,75.09
"T-Mobile Park",2021,17205,182,47929,35.9
"T-Mobile Park",2024,38027,184,47929,79.34
"T-Mobile Park",2023,29247,146,47929,61.02
"T-Mobile Park",2021,11198,180,47929,23.36
"T-Mobile Park",2023,36541,162,47929,76.24
"T-Mobile Park",2022,41507,168,47929,86.6
"T-Mobile Park",2022,16387,191,47929,34.19
"T-Mobile Park",2023,29443,155,47929,61.43
"T-Mobile Park",2022,24071,204,47929,50.22
"T-Mobile Park",2022,21615,159,47929,45.1
"T-Mobile Park",2023,22671,208,47929,47.3
"T-Mobile Park",2023,40231,145,47929,83.94
"T-Mobile Park",2021,18930,206,47929,39.5
"T-Mobile Park",2021,10519,197,47929,21.95
"T-Mobile Park",2023,45477,161,47929,94.88
"T-Mobile Park",2021,9008,155,47929,18.79
"T-Mobile Park",2021,14031,128,47929,29.27
"T-Mobile Park",2021,8999,191,47929,18.78
"T-Mobile Park",2023,45268,134,47929,94.45
"T-Mobile Park",2023,39014,164,47929,81.4
"T-Mobile Park",2021,21312,197,47929,44.47
"T-Mobile Park",2023,23463,134,47929,48.95
"T-Mobile Park",2023,18206,187,47929,37.99
"T-Mobile Park",2023,15418,164,47929,32.17
"T-Mobile Park",2023,25825,162,47929,53.88
"T-Mobile Park",2023,38019,195,47929,79.32
"T-Mobile Park",2021,8993,196,47929,18.76
"T-Mobile Park",2023,37434,149,47929,78.1
"T-Mobile Park",2024,38762,185,47929,80.87
"T-Mobile Park",2021,8174,225,47929,17.05
"T-Mobile Park",2022,21863,154,47929,45.62
"T-Mobile Park",2024,35038,155,47929,73.1
"T-Mobile Park",2024,30013,144,47929,62.62
"T-Mobile Park",2022,9374,176,47929,19.56
"T-Mobile Park",2022,45245,204,47929,94.4
"T-Mobile Park",2024,42177,149,47929,88
"T-Mobile Park",2024,32149,166,47929,67.08
"T-Mobile Park",2024,37998,146,47929,79.28
"T-Mobile Park",2022,13019,156,47929,27.16
"T-Mobile Park",2021,22679,185,47929,47.32
"T-Mobile Park",2023,34154,170,47929,71.26
"T-Mobile Park",2023,44280,168,47929,92.39
"T-Mobile Park",2023,44818,192,47929,93.51
"T-Mobile Park",2024,40739,151,47929,85
"T-Mobile Park",2021,15412,208,47929,32.16
"T-Mobile Park",2022,14797,205,47929,30.87
"T-Mobile Park",2021,11169,200,47929,23.3
"T-Mobile Park",2023,38683,142,47929,80.71
"T-Mobile Park",2021,12635,188,47929,26.36
"T-Mobile Park",2021,9092,188,47929,18.97
"T-Mobile Park",2024,33367,168,47929,69.62
"T-Mobile Park",2023,28141,182,47929,58.71
"T-Mobile Park",2024,39743,164,47929,82.92
"T-Mobile Park",2021,16882,206,47929,35.22
"T-Mobile Park",2021,10311,189,47929,21.51
"T-Mobile Park",2021,8960,156,47929,18.69
"T-Mobile Park",2023,32665,165,47929,68.15
"T-Mobile Park",2022,17027,170,47929,35.53
"T-Mobile Park",2023,42352,177,47929,88.36
"T-Mobile Park",2023,44694,192,47929,93.25
"T-Mobile Park",2024,39588,155,47929,82.6
"T-Mobile Park",2024,36173,159,47929,75.47
"T-Mobile Park",2022,12749,190,47929,26.6
"T-Mobile Park",2022,24564,202,47929,51.25
"T-Mobile Park",2023,44772,141,47929,93.41
"T-Mobile Park",2021,22953,280,47929,47.89
"T-Mobile Park",2024,25437,160,47929,53.07
"T-Mobile Park",2022,24998,161,47929,52.16
"T-Mobile Park",2023,23585,139,47929,49.21
"T-Mobile Park",2023,24596,152,47929,51.32
"T-Mobile Park",2021,18553,203,47929,38.71
"T-Mobile Park",2022,21035,177,47929,43.89
"T-Mobile Park",2022,28548,252,47929,59.56
"T-Mobile Park",2024,41814,145,47929,87.24
"T-Mobile Park",2022,15881,181,47929,33.13
"T-Mobile Park",2024,25527,143,47929,53.26
"T-Mobile Park",2024,23814,150,47929,49.69
"T-Mobile Park",2023,19255,151,47929,40.17
"T-Mobile Park",2021,15146,142,47929,31.6
"T-Mobile Park",2024,27119,150,47929,56.58
"T-Mobile Park",2021,24575,193,47929,51.27
"T-Mobile Park",2022,23221,202,47929,48.45
"T-Mobile Park",2023,31250,152,47929,65.2
"T-Mobile Park",2023,45274,169,47929,94.46
"T-Mobile Park",2022,42114,186,47929,87.87
"T-Mobile Park",2021,9185,190,47929,19.16
"T-Mobile Park",2022,20860,173,47929,43.52
"T-Mobile Park",2021,9000,185,47929,18.78
"T-Mobile Park",2022,15329,180,47929,31.98
"T-Mobile Park",2024,17701,136,47929,36.93
