"Stadium_Name","Year","Spectator_Count","Game_Length"
"Great American Ballpark",2024,13653,155
"Coors Field",2024,18822,162
"PNC Park",2024,9107,134
"Oracle Park",2024,25453,130
"Busch Stadium III",2024,32875,157
"Nationals Park",2024,27806,190
"Angel Stadium of Anaheim",2024,22803,165
"Progressive Field",2024,13543,138
"Kauffman Stadium",2024,11373,153
"Target Field",2024,11223,166
"Yankee Stadium II",2024,30060,149
"Tropicana Field",2024,13648,140
"Globe Life Field in Arlington",2024,27295,149
"Truist Park",2024,38950,160
"Wrigley Field",2024,32327,165
"Great American Ballpark",2024,14515,184
"Coors Field",2024,19356,138
"PNC Park",2024,10370,162
"Oracle Park",2024,30183,170
"Busch Stadium III",2024,36390,141
"Nationals Park",2024,26298,160
"Angel Stadium of Anaheim",2024,19557,177
"Progressive Field",2024,13916,148
"Kauffman Stadium",2024,10282,158
"Target Field",2024,12546,149
"Yankee Stadium II",2024,31179,153
"Tropicana Field",2024,13754,152
"Globe Life Field in Arlington",2024,31896,177
"Wrigley Field",2024,29876,163
"Great American Ballpark",2024,17557,155
"Coors Field",2024,27705,186
"PNC Park",2024,11570,185
"Nationals Park",2024,24185,156
"Progressive Field",2024,16082,169
"Kauffman Stadium",2024,9740,93
"Target Field",2024,20363,150
"Yankee Stadium II",2024,40141,144
"Globe Life Field in Arlington",2024,21782,138
"Truist Park",2024,40210,155
"Marlins Park",2024,10201,135
"Miller Park",2024,32314,191
"Citi Field",2024,24159,150
"Petco Park",2024,40763,162
"Oracle Park",2024,37110,143
"Angel Stadium of Anaheim",2024,31087,170
"Oriole Park at Camden Yards",2024,22965,180
"Fenway Park",2024,31801,154
"Guaranteed Rate Field;U.S. Cellular Field",2024,10323,161
"Comerica Park",2024,17251,150
"Safeco Field",2024,33997,129
"Globe Life Field in Arlington",2024,28396,141
"Rogers Centre",2024,39688,159
"Truist Park",2024,41696,167
"Estadio Alfredo Harp Helu",2024,19934,189
"Marlins Park",2024,12695,168
"Miller Park",2024,41620,165
"Citi Field",2024,32332,183
"Petco Park",2024,43018,129
"Oracle Park",2024,34841,166
"Angel Stadium of Anaheim",2024,44478,185
"Oriole Park at Camden Yards",2024,28364,130
"Fenway Park",2024,35169,160
"Guaranteed Rate Field;U.S. Cellular Field",2024,28009,179
"Comerica Park",2024,22734,150
"Safeco Field",2024,38956,136
"Globe Life Field in Arlington",2024,36553,154
"Rogers Centre",2024,39405,169
"Truist Park",2024,40758,175
"Estadio Alfredo Harp Helu",2024,19841,143
"Marlins Park",2024,15894,197
"Miller Park",2024,35295,201
"Citi Field",2024,30980,179
"Petco Park",2024,42037,156
"Oracle Park",2024,36380,143
"Angel Stadium of Anaheim",2024,38955,181
"Oriole Park at Camden Yards",2024,40887,173
"Fenway Park",2024,32052,154
"Guaranteed Rate Field;U.S. Cellular Field",2024,12669,126
"Comerica Park",2024,18794,130
"Safeco Field",2024,33474,146
"Globe Life Field in Arlington",2024,37008,150
"Rogers Centre",2024,39053,140
"Chase Field",2024,36985,170
"Marlins Park",2024,6376,141
"Miller Park",2024,20395,151
"Citi Field",2024,25046,125
"Petco Park",2024,39158,148
"Angel Stadium of Anaheim",2024,25449,163
"Oriole Park at Camden Yards",2024,23184,150
"Guaranteed Rate Field;U.S. Cellular Field",2024,10772,154
"Oakland-Alameda County Coliseum",2024,3528,138
"Safeco Field",2024,26452,149
"Rogers Centre",2024,29879,176
"Chase Field",2024,28667,167
"Marlins Park",2024,6706,161
"Miller Park",2024,21124,167
"Citi Field",2024,22880,151
"Petco Park",2024,36769,161
"Angel Stadium of Anaheim",2024,23949,168
"Oriole Park at Camden Yards",2024,21949,139
"Fenway Park",2024,30027,152
"Guaranteed Rate Field;U.S. Cellular Field",2024,11609,184
"Comerica Park",2024,0,139
"Comerica Park",2024,16290,180
"Minute Maid Park",2024,29711,197
"Oakland-Alameda County Coliseum",2024,3876,142
"Safeco Field",2024,23534,136
"Globe Life Field in Arlington",2024,27584,139
"Rogers Centre",2024,27189,139
"Chase Field",2024,34088,169
"Marlins Park",2024,7171,140
"Miller Park",2024,20132,151
"Citi Field",2024,22485,157
"Petco Park",2024,32993,150
"Angel Stadium of Anaheim",2024,20156,173
"Oriole Park at Camden Yards",2024,24180,149
"Fenway Park",2024,30787,134
"Guaranteed Rate Field;U.S. Cellular Field",2024,12216,168
"Comerica Park",2024,16035,141
"Minute Maid Park",2024,25733,156
"Oakland-Alameda County Coliseum",2024,4679,141
"Safeco Field",2024,21689,154
"Globe Life Field in Arlington",2024,24846,131
"Rogers Centre",2024,32307,139
"Marlins Park",2024,7540,177
"Citi Field",2024,22224,197
"Oriole Park at Camden Yards",2024,27299,159
"Fenway Park",2024,30065,141
"Minute Maid Park",2024,26600,159
"Globe Life Field in Arlington",2024,27529,150
"Chase Field",2024,31976,156
"Wrigley Field",2024,33557,157
"Great American Ballpark",2024,25861,154
"Dodger Stadium",2024,50859,180
"Citizens Bank Park",2024,40888,180
"PNC Park",2024,20646,156
"Busch Stadium III",2024,34010,141
"Nationals Park",2024,22856,169
"Progressive Field",2024,19698,161
"Minute Maid Park",2024,33796,156
"Kauffman Stadium",2024,25690,144
"Target Field",2024,24488,141
"Yankee Stadium II",2024,37386,164
"Oakland-Alameda County Coliseum",2024,8533,140
"Tropicana Field",2024,19077,166
"Chase Field",2024,39661,170
"Wrigley Field",2024,40505,150
"Great American Ballpark",2024,33202,142
"Dodger Stadium",2024,44474,144
"Citizens Bank Park",2024,42610,181
"PNC Park",2024,24149,133
"Busch Stadium III",2024,38559,192
"Nationals Park",2024,22836,179
"Progressive Field",2024,26292,135
"Minute Maid Park",2024,34205,145
"Kauffman Stadium",2024,26002,170
"Target Field",2024,23587,154
"Yankee Stadium II",2024,45017,154
"Oakland-Alameda County Coliseum",2024,7809,163
"Tropicana Field",2024,18968,171
"Chase Field",2024,30968,159
"Wrigley Field",2024,39299,143
"Great American Ballpark",2024,31514,157
"Dodger Stadium",2024,52733,127
"Citizens Bank Park",2024,41058,165
"PNC Park",2024,12912,138
"Busch Stadium III",2024,43046,148
"Nationals Park",2024,18363,181
"Progressive Field",2024,19579,135
"Minute Maid Park",2024,36280,175
"Kauffman Stadium",2024,20613,152
"Target Field",2024,29638,170
"Yankee Stadium II",2024,35119,160
"Oakland-Alameda County Coliseum",2024,12212,172
"Tropicana Field",2024,19310,208
"Wrigley Field",2024,35560,181
"Dodger Stadium",2024,44970,139
"Citizens Bank Park",2024,33408,143
"PNC Park",2024,9506,115
"Busch Stadium III",2024,31283,145
"Progressive Field",2024,15029,141
"Kauffman Stadium",2024,10005,147
"Target Field",2024,14384,129
"Oakland-Alameda County Coliseum",2024,2895,146
"Tropicana Field",2024,12042,153
"Truist Park",2024,38142,151
"Wrigley Field",2024,38133,151
"Great American Ballpark",2024,14485,147
"Coors Field",2024,21259,151
"Dodger Stadium",2024,51496,131
"Citizens Bank Park",2024,39492,155
"PNC Park",2024,10844,151
"Busch Stadium III",2024,32606,172
"Nationals Park",2024,29542,139
"Progressive Field",2024,15531,165
"Kauffman Stadium",2024,14657,152
"Target Field",2024,14710,181
"Yankee Stadium II",2024,37126,166
"Oakland-Alameda County Coliseum",2024,3965,187
"Tropicana Field",2024,10872,138
"Truist Park",2024,37015,141
"Wrigley Field",2024,30138,149
"Great American Ballpark",2024,15660,162
"Coors Field",2024,20532,166
"Dodger Stadium",2024,40702,115
"Citizens Bank Park",2024,34681,181
"PNC Park",2024,15213,149
"Nationals Park",2024,34078,215
"Progressive Field",2024,20788,162
"Kauffman Stadium",2024,22430,158
"Target Field",2024,15685,147
"Yankee Stadium II",2024,37660,155
"Oakland-Alameda County Coliseum",2024,0,139
"Oakland-Alameda County Coliseum",2024,8230,213
"Tropicana Field",2024,12877,152
"Great American Ballpark",2024,18214,171
"Coors Field",2024,23870,140
"Miller Park",2024,25031,147
"Angel Stadium of Anaheim",2024,23568,164
"Guaranteed Rate Field;U.S. Cellular Field",2024,10495,142
"Target Field",2024,22154,159
"Yankee Stadium II",2024,38095,175
"Coors Field",2024,32693,141
"Marlins Park",2024,15119,165
"Miller Park",2024,30104,151
"Citi Field",2024,23355,147
"PNC Park",2024,16454,157
"Petco Park",2024,43388,132
"Oracle Park",2024,32867,150
"Angel Stadium of Anaheim",2024,29126,158
"Oriole Park at Camden Yards",2024,27703,154
"Fenway Park",2024,31313,146
"Guaranteed Rate Field;U.S. Cellular Field",2024,17319,135
"Comerica Park",2024,21215,145
"Safeco Field",2024,39743,164
"Tropicana Field",2024,18041,159
"Rogers Centre",2024,34205,144
"Coors Field",2024,37527,168
"Marlins Park",2024,13210,156
"Miller Park",2024,34028,170
"Citi Field",2024,38919,165
"PNC Park",2024,34924,176
"Petco Park",2024,46701,156
"Oracle Park",2024,37321,155
"Angel Stadium of Anaheim",2024,31593,141
"Oriole Park at Camden Yards",2024,27882,191
"Fenway Park",2024,30995,133
"Guaranteed Rate Field;U.S. Cellular Field",2024,26152,136
"Comerica Park",2024,27140,161
"Safeco Field",2024,32398,141
"Tropicana Field",2024,21308,147
"Rogers Centre",2024,35069,188
"Coors Field",2024,35107,145
"Marlins Park",2024,13001,179
"Miller Park",2024,36865,164
"Citi Field",2024,18944,170
"PNC Park",2024,18554,199
"Petco Park",2024,43881,155
"Oracle Park",2024,36210,193
"Angel Stadium of Anaheim",2024,27723,138
"Oriole Park at Camden Yards",2024,31448,163
"Fenway Park",2024,29250,151
"Guaranteed Rate Field;U.S. Cellular Field",2024,15529,132
"Comerica Park",2024,27004,163
"Safeco Field",2024,41609,138
"Tropicana Field",2024,20694,176
"Rogers Centre",2024,32200,140
"Chase Field",2024,18017,198
"Truist Park",2024,34582,151
"Miller Park",2024,18305,187
"Citi Field",2024,28086,190
"Petco Park",2024,34458,164
"Oracle Park",2024,35033,175
"Angel Stadium of Anaheim",2024,22814,174
"Oriole Park at Camden Yards",2024,24358,162
"Fenway Park",2024,28663,156
"Comerica Park",2024,12901,144
"Minute Maid Park",2024,26225,153
"Safeco Field",2024,14984,152
"Globe Life Field in Arlington",2024,27100,166
"Chase Field",2024,20068,150
"Truist Park",2024,37357,132
"Miller Park",2024,19532,147
"Citi Field",2024,30047,168
"Petco Park",2024,40134,159
"Oracle Park",2024,33575,156
"Angel Stadium of Anaheim",2024,21490,175
"Fenway Park",2024,32893,192
"Guaranteed Rate Field;U.S. Cellular Field",2024,0,162
"Guaranteed Rate Field;U.S. Cellular Field",2024,11138,135
"Comerica Park",2024,16498,129
"Minute Maid Park",2024,36178,181
"Target Field",2024,23805,158
"Safeco Field",2024,20665,151
"Globe Life Field in Arlington",2024,33885,176
"Chase Field",2024,16826,119
"Truist Park",2024,36623,150
"Miller Park",2024,32848,142
"Citizens Bank Park",2024,37219,163
"Petco Park",2024,33951,146
"Oracle Park",2024,36027,143
"Angel Stadium of Anaheim",2024,21961,177
"Oriole Park at Camden Yards",2024,29578,185
"Fenway Park",2024,30016,149
